index, timestamp, utilization.gpu [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0, 2024/05/13 17:08:53.262, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:09:03.263, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:09:13.264, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:09:23.265, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:09:33.266, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:09:43.267, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:09:53.268, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:10:03.268, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:10:13.269, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:10:23.271, 0 %, 32768 MiB, 32497 MiB, 4 MiB
0, 2024/05/13 17:10:33.272, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:10:43.274, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:10:53.275, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:11:03.277, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:11:13.278, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:11:23.279, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:11:33.279, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:11:43.283, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:11:53.287, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:12:03.287, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:12:13.288, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:12:23.289, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:12:33.290, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:12:43.291, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:12:53.292, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:13:03.293, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:13:13.294, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:13:23.295, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:13:33.299, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:13:43.300, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:13:53.302, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:14:03.303, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:14:13.304, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:14:23.305, 0 %, 32768 MiB, 32497 MiB, 4 MiB
0, 2024/05/13 17:14:33.306, 12 %, 32768 MiB, 23239 MiB, 9262 MiB
0, 2024/05/13 17:14:43.307, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:14:53.308, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:15:03.310, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:15:13.311, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:15:23.313, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:15:33.314, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:15:43.318, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:15:53.319, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:16:03.320, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:16:13.321, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:16:23.322, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:16:33.323, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:16:43.323, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:16:53.324, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:17:03.325, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:17:13.327, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:17:23.328, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:17:33.329, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:17:43.330, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:17:53.331, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:18:03.332, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:18:13.333, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:18:23.335, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:18:33.337, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:18:43.337, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:18:53.338, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:19:03.339, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:19:13.340, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:19:23.341, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:19:33.342, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:19:43.342, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:19:53.343, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:20:03.344, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:20:13.345, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:20:23.345, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:20:33.346, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:20:43.347, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:20:53.348, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:21:03.349, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:21:13.349, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:21:23.351, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:21:33.352, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:21:43.353, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:21:53.353, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:22:03.354, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:22:13.355, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:22:23.358, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:22:33.359, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:22:43.360, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:22:53.361, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:23:03.362, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:23:13.363, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:23:23.364, 0 %, 32768 MiB, 32497 MiB, 4 MiB
0, 2024/05/13 17:23:33.365, 11 %, 32768 MiB, 26763 MiB, 5738 MiB
0, 2024/05/13 17:23:43.366, 12 %, 32768 MiB, 16687 MiB, 15814 MiB
0, 2024/05/13 17:23:53.367, 97 %, 32768 MiB, 16569 MiB, 15932 MiB
0, 2024/05/13 17:24:03.368, 97 %, 32768 MiB, 16365 MiB, 16136 MiB
0, 2024/05/13 17:24:13.369, 98 %, 32768 MiB, 16285 MiB, 16216 MiB
0, 2024/05/13 17:24:23.371, 97 %, 32768 MiB, 16205 MiB, 16296 MiB
0, 2024/05/13 17:24:33.372, 97 %, 32768 MiB, 16205 MiB, 16296 MiB
0, 2024/05/13 17:24:43.373, 98 %, 32768 MiB, 16205 MiB, 16296 MiB
0, 2024/05/13 17:24:53.377, 98 %, 32768 MiB, 16205 MiB, 16296 MiB
0, 2024/05/13 17:25:03.379, 97 %, 32768 MiB, 16205 MiB, 16296 MiB
0, 2024/05/13 17:25:13.380, 97 %, 32768 MiB, 16205 MiB, 16296 MiB
0, 2024/05/13 17:25:23.382, 97 %, 32768 MiB, 16205 MiB, 16296 MiB
0, 2024/05/13 17:25:33.383, 97 %, 32768 MiB, 16205 MiB, 16296 MiB
0, 2024/05/13 17:25:43.385, 97 %, 32768 MiB, 16205 MiB, 16296 MiB
0, 2024/05/13 17:25:53.387, 97 %, 32768 MiB, 16205 MiB, 16296 MiB
0, 2024/05/13 17:26:03.388, 97 %, 32768 MiB, 16205 MiB, 16296 MiB
0, 2024/05/13 17:26:13.390, 97 %, 32768 MiB, 16205 MiB, 16296 MiB
0, 2024/05/13 17:26:23.393, 97 %, 32768 MiB, 16205 MiB, 16296 MiB
0, 2024/05/13 17:26:33.395, 98 %, 32768 MiB, 16205 MiB, 16296 MiB
0, 2024/05/13 17:26:43.396, 97 %, 32768 MiB, 16205 MiB, 16296 MiB
0, 2024/05/13 17:26:53.398, 97 %, 32768 MiB, 16205 MiB, 16296 MiB
0, 2024/05/13 17:27:03.399, 98 %, 32768 MiB, 16205 MiB, 16296 MiB
0, 2024/05/13 17:27:13.400, 97 %, 32768 MiB, 16205 MiB, 16296 MiB
0, 2024/05/13 17:27:23.402, 97 %, 32768 MiB, 16205 MiB, 16296 MiB
0, 2024/05/13 17:27:33.403, 97 %, 32768 MiB, 16205 MiB, 16296 MiB
0, 2024/05/13 17:27:43.405, 97 %, 32768 MiB, 16205 MiB, 16296 MiB
0, 2024/05/13 17:27:53.406, 97 %, 32768 MiB, 16183 MiB, 16318 MiB
0, 2024/05/13 17:28:03.407, 97 %, 32768 MiB, 16183 MiB, 16318 MiB
0, 2024/05/13 17:28:13.409, 97 %, 32768 MiB, 16183 MiB, 16318 MiB
0, 2024/05/13 17:28:23.410, 97 %, 32768 MiB, 16183 MiB, 16318 MiB
0, 2024/05/13 17:28:33.412, 97 %, 32768 MiB, 16183 MiB, 16318 MiB
0, 2024/05/13 17:28:43.413, 98 %, 32768 MiB, 16183 MiB, 16318 MiB
0, 2024/05/13 17:28:53.415, 98 %, 32768 MiB, 16183 MiB, 16318 MiB
0, 2024/05/13 17:29:03.416, 97 %, 32768 MiB, 16183 MiB, 16318 MiB
0, 2024/05/13 17:29:13.418, 97 %, 32768 MiB, 16183 MiB, 16318 MiB
0, 2024/05/13 17:29:23.419, 97 %, 32768 MiB, 16183 MiB, 16318 MiB
0, 2024/05/13 17:29:33.420, 97 %, 32768 MiB, 16161 MiB, 16340 MiB
0, 2024/05/13 17:29:43.422, 97 %, 32768 MiB, 16161 MiB, 16340 MiB
0, 2024/05/13 17:29:53.423, 97 %, 32768 MiB, 16161 MiB, 16340 MiB
0, 2024/05/13 17:30:03.427, 98 %, 32768 MiB, 16161 MiB, 16340 MiB
0, 2024/05/13 17:30:13.430, 97 %, 32768 MiB, 16161 MiB, 16340 MiB
0, 2024/05/13 17:30:23.432, 98 %, 32768 MiB, 16161 MiB, 16340 MiB
0, 2024/05/13 17:30:33.433, 97 %, 32768 MiB, 16161 MiB, 16340 MiB
0, 2024/05/13 17:30:43.435, 97 %, 32768 MiB, 16161 MiB, 16340 MiB
0, 2024/05/13 17:30:53.436, 97 %, 32768 MiB, 16161 MiB, 16340 MiB
0, 2024/05/13 17:31:03.438, 97 %, 32768 MiB, 16161 MiB, 16340 MiB
0, 2024/05/13 17:31:13.439, 98 %, 32768 MiB, 16161 MiB, 16340 MiB
0, 2024/05/13 17:31:23.440, 97 %, 32768 MiB, 16161 MiB, 16340 MiB
0, 2024/05/13 17:31:33.442, 97 %, 32768 MiB, 16161 MiB, 16340 MiB
0, 2024/05/13 17:31:43.443, 98 %, 32768 MiB, 16161 MiB, 16340 MiB
0, 2024/05/13 17:31:53.444, 97 %, 32768 MiB, 16161 MiB, 16340 MiB
0, 2024/05/13 17:32:03.446, 97 %, 32768 MiB, 16161 MiB, 16340 MiB
0, 2024/05/13 17:32:13.447, 97 %, 32768 MiB, 16161 MiB, 16340 MiB
0, 2024/05/13 17:32:23.449, 95 %, 32768 MiB, 16161 MiB, 16340 MiB
0, 2024/05/13 17:32:33.450, 97 %, 32768 MiB, 16161 MiB, 16340 MiB
0, 2024/05/13 17:32:43.451, 97 %, 32768 MiB, 16161 MiB, 16340 MiB
0, 2024/05/13 17:32:53.453, 98 %, 32768 MiB, 16161 MiB, 16340 MiB
0, 2024/05/13 17:33:03.454, 97 %, 32768 MiB, 16161 MiB, 16340 MiB
0, 2024/05/13 17:33:13.455, 97 %, 32768 MiB, 16159 MiB, 16342 MiB
0, 2024/05/13 17:33:23.457, 98 %, 32768 MiB, 16159 MiB, 16342 MiB
0, 2024/05/13 17:33:33.458, 97 %, 32768 MiB, 16129 MiB, 16372 MiB
0, 2024/05/13 17:33:43.459, 97 %, 32768 MiB, 16129 MiB, 16372 MiB
0, 2024/05/13 17:33:53.460, 97 %, 32768 MiB, 16129 MiB, 16372 MiB
0, 2024/05/13 17:34:03.462, 97 %, 32768 MiB, 16129 MiB, 16372 MiB
0, 2024/05/13 17:34:13.463, 97 %, 32768 MiB, 16099 MiB, 16402 MiB
0, 2024/05/13 17:34:23.464, 97 %, 32768 MiB, 16099 MiB, 16402 MiB
0, 2024/05/13 17:34:33.466, 98 %, 32768 MiB, 16099 MiB, 16402 MiB
0, 2024/05/13 17:34:43.467, 97 %, 32768 MiB, 16099 MiB, 16402 MiB
0, 2024/05/13 17:34:53.468, 97 %, 32768 MiB, 16099 MiB, 16402 MiB
